customer_id,recency_days,frequency,monetary,segment
12346,325,1,77183.60,Lost
12347,2,7,4310.00,Loyal
12348,75,4,1797.24,Regular
12349,18,1,1757.55,New
12350,310,1,334.40,Lost
12352,36,8,2506.04,Loyal
12353,204,1,89.00,Lost
12354,232,1,1079.40,Lost
12355,214,1,459.40,Lost
12356,22,3,2811.43,New
12357,33,1,6207.67,Regular
12358,1,2,1168.06,New
12359,57,4,6372.58,Regular
12360,52,3,2662.06,Regular
12361,287,1,189.90,Lost
12362,3,10,5226.23,VIP
12363,109,2,552.00,At Risk
12364,7,4,1313.10,New
12365,291,2,641.38,Lost
12367,4,1,168.90,New
12370,51,4,3545.69,Regular
12371,44,2,1887.96,Regular
12372,71,3,1298.04,Regular
12373,311,1,364.60,Lost
12374,25,1,742.93,New
12375,10,2,457.50,New
12377,315,2,1628.12,Lost
12378,129,1,4008.62,At Risk
12379,81,2,852.24,Regular
12380,21,4,2724.81,New
12381,4,5,1845.31,Loyal
12383,184,5,1850.56,Lost
12384,28,2,585.27,New
12386,337,2,401.90,Lost
12388,15,6,2780.66,Loyal
12390,79,1,549.84,Regular
12391,21,1,460.89,New
12393,72,4,1582.60,Regular
12394,63,2,1272.48,Regular
12395,19,12,3018.63,VIP
12397,35,2,2409.90,Regular
12398,45,1,1635.66,Regular
12399,119,4,1108.65,At Risk
12401,303,1,84.30,Lost
12402,323,1,225.60,Lost
12403,49,1,427.70,Regular
12405,148,1,1710.39,At Risk
12406,22,2,3415.30,New
12407,49,5,1708.12,Loyal
12408,32,5,2888.55,Loyal
12409,78,3,11072.67,Regular
12410,308,2,693.33,Lost
12412,74,3,1226.88,Regular
12413,66,3,758.10,Regular
12414,217,3,562.41,Lost
12415,24,21,124914.53,VIP
12417,3,9,3649.10,Loyal
12418,112,1,668.58,At Risk
12420,63,1,600.39,Regular
12421,15,4,807.04,New
12422,95,3,803.56,At Risk
12423,0,8,1859.31,Loyal
12424,162,2,1760.96,At Risk
12425,78,1,777.20,Regular
12426,194,1,582.73,Lost
12427,21,3,825.80,New
12428,25,9,7956.46,Loyal
12429,9,4,3750.40,New
12430,43,1,256.40,Regular
12431,35,15,6487.45,Loyal
12432,42,5,5059.32,Loyal
12433,0,7,13375.87,Loyal
12434,84,2,806.14,Regular
12435,79,2,7829.89,Regular
12436,99,1,509.01,At Risk
12437,1,18,4951.41,VIP
12438,14,2,2906.85,New
12441,366,1,173.55,Lost
12442,3,1,172.06,New
12444,21,5,5005.46,Loyal
12445,22,1,133.40,New
12446,57,1,1002.31,Regular
12447,243,1,476.49,Lost
12448,44,1,449.45,Regular
12449,22,4,4067.29,New
12450,156,2,197.88,At Risk
12451,10,5,9035.52,Loyal
12452,16,2,430.57,New
12453,134,1,707.09,At Risk
12454,56,1,3528.34,Regular
12455,73,6,2466.86,Loyal
12456,44,3,3181.04,Regular
12457,66,7,2363.23,Loyal
12458,71,2,947.40,Regular
12461,94,2,826.88,At Risk
12462,18,2,1189.59,New
12463,53,4,1344.78,Regular
12464,10,8,1212.05,Loyal
12465,17,2,742.19,New
12468,187,2,729.54,Lost
12471,2,30,19824.05,VIP
12472,32,7,6572.11,Loyal
12473,29,5,3938.55,Loyal
12474,17,18,7375.79,VIP
12475,53,1,723.38,Regular
12476,15,11,6816.42,VIP
12477,22,6,13219.74,Loyal
12478,3,1,680.99,New
12479,11,1,527.20,New
12480,28,4,3281.63,New
12481,22,10,5596.32,VIP
12483,17,8,2484.98,Loyal
12484,32,6,4541.72,Loyal
12488,9,3,1298.66,New
12489,336,1,334.93,Lost
12490,5,10,5417.93,VIP
12491,38,1,460.40,Regular
12492,63,2,263.21,Regular
12493,165,2,433.74,At Risk
12494,15,7,1246.10,Loyal
12497,81,1,1043.10,Regular
12498,21,3,403.70,New
12500,23,11,4257.82,VIP
12501,336,1,2169.39,Lost
12502,95,5,3723.87,At Risk
12504,18,2,482.05,New
12506,232,1,73.50,Lost
12507,134,3,1304.81,At Risk
12508,26,2,398.27,New
12509,284,1,176.50,Lost
12510,142,2,982.57,At Risk
12512,66,2,138.03,Regular
12513,112,1,612.29,At Risk
12514,267,1,1017.68,Lost
12515,353,1,383.70,Lost
12516,77,2,1312.06,Regular
12517,28,5,2502.84,Loyal
12518,0,5,2056.89,Loyal
12519,63,1,340.84,Regular
12520,79,5,2634.26,Loyal
12521,142,1,599.68,At Risk
12522,39,2,192.72,Regular
12523,19,11,1789.77,VIP
12524,9,8,4485.72,Loyal
12526,0,3,1316.66,New
12527,81,3,348.71,Regular
12528,9,6,1933.48,Loyal
12530,59,4,1662.28,Regular
12531,14,1,125.22,New
12532,30,1,349.83,New
12534,130,1,1089.18,At Risk
12535,91,2,716.35,At Risk
12536,43,3,12601.83,Regular
12538,29,1,363.95,New
12539,22,4,5568.35,New
12540,19,17,13400.24,VIP
12541,29,3,981.18,New
12544,36,1,372.70,Regular
12545,75,2,1000.39,Regular
12546,46,2,1161.50,Regular
12547,197,2,207.80,Lost
12548,166,1,95.20,At Risk
12550,79,1,964.83,Regular
12551,357,1,168.00,Lost
12552,38,2,437.82,Regular
12553,8,10,3692.28,VIP
12556,50,2,603.71,Regular
12557,16,5,11990.96,Loyal
12558,7,1,269.96,New
12559,310,2,561.71,Lost
12560,5,3,2134.01,New
12561,302,1,238.85,Lost
12562,8,7,3781.74,Loyal
12564,261,1,456.90,Lost
12565,288,1,145.92,Lost
12566,86,1,351.65,Regular
12567,22,10,9401.28,VIP
12569,2,32,4124.69,VIP
12571,39,2,519.61,Regular
12572,8,2,1020.42,New
12573,227,1,160.54,Lost
12574,315,1,218.45,Lost
12576,35,5,1315.83,Loyal
12577,35,3,657.80,Regular
12578,21,2,2794.51,New
12579,78,1,440.42,Regular
12580,246,1,415.70,Lost
12581,39,1,197.71,Regular
12582,238,2,511.36,Lost
12583,2,15,7281.38,VIP
12584,3,9,2338.15,Loyal
12585,234,2,2040.10,Lost
12586,17,1,196.94,New
12587,7,1,144.00,New
12588,39,1,214.90,Regular
12589,28,2,646.68,New
12590,211,2,9864.26,Lost
12591,317,1,452.85,Lost
12592,92,2,437.60,At Risk
12593,108,3,418.10,At Risk
12594,37,10,3338.22,Loyal
12596,51,2,618.27,Regular
12597,19,4,3811.22,New
12598,9,8,3023.08,Loyal
12599,29,7,1032.58,Loyal
12600,28,10,2599.04,VIP
12601,189,5,577.06,Lost
12602,58,1,153.12,Regular
12603,21,1,739.20,New
12604,79,2,254.18,Regular
12607,60,1,1579.51,Regular
12609,78,3,1126.85,Regular
12610,22,5,2099.54,Loyal
12611,52,1,1193.32,Regular
12612,74,1,704.04,Regular
12613,57,5,3344.38,Loyal
12614,277,1,315.60,Lost
12615,2,4,2291.19,New
12616,95,2,713.30,At Risk
12617,29,1,355.53,New
12618,21,1,177.31,New
12619,16,9,3641.24,Loyal
12620,14,3,1339.41,New
12621,1,20,13689.67,VIP
12622,232,1,180.10,Lost
12623,276,1,305.10,Lost
12624,106,2,641.13,At Risk
12625,211,2,2683.82,Lost
12626,23,9,6620.48,Loyal
12627,10,7,4478.53,Loyal
12628,4,3,786.46,New
12630,9,2,1270.88,New
12631,57,1,640.50,Regular
12633,58,4,2163.98,Regular
12635,89,2,1689.18,Regular
12637,67,8,6021.90,Loyal
12638,33,1,671.69,Regular
12639,238,1,486.10,Lost
12640,23,3,1174.58,New
12641,115,1,185.90,At Risk
12642,25,3,1013.26,New
12643,128,6,3344.64,At Risk
12644,129,1,477.91,At Risk
12645,33,4,1775.18,Regular
12646,4,2,1346.97,New
12647,22,12,3722.82,VIP
12648,154,1,318.05,At Risk
12649,107,3,623.51,At Risk
12650,3,1,314.44,New
12651,334,1,114.00,Lost
12652,331,1,919.98,Lost
12653,148,2,2209.85,At Risk
12654,10,5,601.98,Loyal
12656,17,5,4051.17,Loyal
12657,11,4,1643.18,New
12658,18,1,686.05,New
12659,29,1,91.68,New
12660,11,1,245.10,New
12662,0,11,3849.78,VIP
12664,8,9,4881.88,Loyal
12665,324,1,63.00,Lost
12667,58,1,620.13,Regular
12668,11,4,3807.15,New
